DATE,max1ud01,max1ud02,max1ud03,max1ud04,max1ud05,max1ud06,max1ud07,max1ud08,max1ud09,max1ud10,imax1ud01,imax1ud02,imax1ud03,imax1ud04,imax1ud05,imax1ud06,imax1ud07,imax1ud08,imax1ud09,imax1ud10,max1cimax1c11,max1cimax1c12,max1cimax1c13,max1cimax1c14,max1cimax1c21,max1cimax1c22,max1cimax1c23,max1cimax1c24,max1cimax1c25,max1cimax1c31,max1cimax1c32,max1cimax1c33,max1cimax1c34,max1cimax1c35,max1cimax1c41,max1cimax1c42,max1cimax1c43,max1cimax1c44,max1cimax1c45,max1cimax1c52,max1cimax1c53,max1cimax1c54,max1cimax1c55,max1cimax1c51,max1cimax1c15
19640831,-0.020817,0.001988,-0.016337,-0.006895,-0.012182,-0.019305,0.002711,-0.011365,-0.006518,-0.017031,-0.013698,-0.010930,-0.010530,-0.010496,0.004063,-0.018641,-0.006863,-0.014034,-0.008123,-0.031569,-0.012288,-0.001848,0.005414,,-0.013904,-0.015620,-0.005426,0.014047,,-0.026028,-0.009820,-0.016896,-0.013080,-0.011276,-0.018725,0.025225,0.004513,-0.003286,-0.025032,-0.010390,0.039429,-0.016160,-0.013474,,
19640930,0.013008,0.038378,0.019739,0.026856,0.038893,0.019780,0.063495,0.051112,0.047128,0.032570,0.026225,0.037697,0.017167,0.033022,0.021698,0.030168,0.050671,0.053431,0.052946,0.023171,0.023605,0.030625,0.031111,0.028693,0.038189,0.006446,0.025869,0.034660,-0.030488,0.057335,0.027479,0.021241,0.038476,0.251765,0.075209,0.083843,0.032036,0.064384,0.045450,,0.006873,0.048835,0.039647,,
19641030,0.019147,0.009902,-0.002875,-0.001653,0.018801,0.004425,0.012763,0.012797,0.007221,-0.013507,0.014155,0.003760,0.007255,-0.000172,0.003761,0.014600,0.028712,0.017560,0.015107,0.004331,0.016561,0.009710,0.040000,,-0.005956,-0.004384,0.016128,0.006306,,-0.010301,0.013467,0.007573,0.031437,0.038721,0.001883,-0.002856,-0.006305,0.019564,0.037853,,-0.033824,0.013295,-0.005000,,
19641130,0.019769,-0.012453,-0.007188,0.006100,0.015826,0.002338,0.001431,-0.032505,0.002268,-0.002715,0.005610,-0.001034,0.017591,0.002764,0.013503,-0.012392,-0.001150,-0.004492,-0.010452,-0.000470,0.006617,0.016481,0.024329,,-0.013831,0.006385,0.015329,-0.006525,0.189655,0.034140,-0.002764,0.006941,0.014617,-0.033789,-0.039949,0.062388,-0.028111,-0.012411,-0.025415,0.007407,-0.010275,0.000027,0.002939,-0.081911,
19641231,0.014280,0.001495,0.004514,-0.004008,-0.003269,-0.000350,-0.004174,0.015029,0.003821,-0.020607,0.009451,0.005260,0.002587,-0.002928,0.003454,0.002446,-0.003157,-0.008094,-0.003825,-0.017907,0.009566,-0.007448,0.001408,0.142487,0.003115,-0.000939,0.008774,-0.025149,0.069633,0.010110,-0.021823,0.008985,-0.014017,-0.021875,-0.046395,0.033310,-0.020062,0.002371,-0.008142,,0.020474,-0.005149,-0.010055,,
19650129,0.024687,0.045656,0.047522,0.018338,0.052963,0.049944,0.040641,0.040201,0.040183,0.075447,0.025328,0.025761,0.058398,0.047513,0.055168,0.044604,0.036353,0.054330,0.045859,0.086659,0.031790,0.048411,0.061538,0.005181,0.008755,0.049114,0.047669,0.061627,0.171789,0.027005,0.076969,0.056247,0.053711,0.061287,0.055972,0.037337,0.041483,0.039035,0.048000,0.037256,0.044630,0.031318,0.062416,,
19650226,-0.012569,0.004180,0.014639,0.008431,0.033669,0.036881,0.009178,0.028726,0.037992,0.029279,-0.007929,0.011035,0.012350,0.015176,0.028402,0.020568,0.038066,0.008553,0.037839,0.032298,-0.007393,0.006950,0.048718,,0.007609,0.009928,0.021896,0.013380,,0.037954,0.046324,0.025547,0.038357,0.009895,-0.022860,0.005097,0.027244,0.009914,0.049908,0.035616,0.039951,0.053834,0.030081,-0.058824,
19650331,-0.014584,-0.016887,-0.008066,-0.000208,-0.010745,-0.008484,0.000546,-0.009328,-0.008806,0.003156,-0.011854,-0.011949,-0.007334,-0.011544,-0.004473,-0.005994,-0.013388,0.005608,-0.019612,0.011309,-0.015702,-0.015320,0.009875,0.007004,-0.003001,-0.003422,-0.000848,-0.016295,,-0.009538,-0.012234,-0.007083,-0.015434,0.064719,0.018832,0.008062,-0.007989,0.001536,-0.024187,0.016339,-0.021162,-0.004552,-0.003960,-0.005980,
19650430,0.022339,0.052874,0.016698,0.031014,0.028186,0.034693,0.044165,0.035870,0.059132,0.027748,0.041608,0.016398,0.023568,0.044616,0.031317,0.031649,0.027624,0.044761,0.028547,0.046590,0.037004,0.039978,-0.007716,,0.030988,0.020490,0.026147,0.070762,,0.002803,0.040960,0.030571,0.035430,-0.004922,0.004342,0.046138,0.065852,0.032658,0.036281,0.129032,0.007407,0.033039,0.036241,0.000000,
19650528,0.004258,-0.006357,-0.005142,-0.010243,-0.007482,0.013819,-0.017268,-0.009707,0.004104,-0.018861,0.000127,-0.004897,-0.014987,-0.004396,-0.002561,0.004857,-0.002428,-0.021000,-0.021015,-0.016508,0.005000,-0.021917,-0.019622,,-0.006411,-0.001742,-0.014165,-0.008232,0.125000,-0.010886,-0.009402,0.008406,0.000922,0.032986,-0.038771,-0.034785,0.003174,-0.021719,-0.029518,0.055556,0.037421,-0.007122,-0.015660,0.000000,
